Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
68	-0.0495575	0.0439662	0.319597	-0.0845733	0.022885	0.230005	-0.03926	0.00707875	0.0844175	-0.0231433	0.01025	0.0715317	-0.00704875	-0.010285	-0.0260463	-0.00829833	-0.00971	-0.030905	0	0	0	0	0	0
69	-0.0624	0.0392013	0.272707	-0.076305	0.02051	0.23464	-0.048145	-0.00190125	0.074325	-0.0208383	0.00768333	0.0793	-0.00406625	-0.0121663	-0.0199575	-0.00664333	-0.008835	-0.026685	0	0	0	0	0	0
70	-0.06597	0.0283238	0.20835	-0.078215	0.01919	0.213007	-0.048345	-0.00910375	0.0552412	-0.0263583	0.0009	0.0689117	-0.00245625	-0.0130838	-0.0157288	-0.00437667	-0.00910167	-0.0206917	0	0	0	0	0	0
71	-0.0686812	0.0163537	0.148256	-0.08409	0.0162683	0.172927	-0.0446225	-0.0129725	0.036735	-0.034055	-0.00629833	0.0515083	-0.0019325	-0.0133075	-0.0133213	-0.002475	-0.010095	-0.0152533	0	0	0	0	0	0
72	-0.0740637	0.00658875	0.104528	-0.0876717	0.012895	0.13017	-0.04088	-0.0136438	0.0247263	-0.038115	-0.0109633	0.0356017	-0.00189125	-0.01283	-0.0118875	-0.00152667	-0.01104	-0.012125	0	0	0	0	0	0
73	-0.0750412	-0.00038625	0.072655	-0.0874883	0.00977167	0.0962683	-0.0371525	-0.0121162	0.0187675	-0.0378533	-0.0123317	0.0247067	-0.00197	-0.0116675	-0.0109512	-0.00130333	-0.011575	-0.0109833	0	0	0	0	0	0
74	-0.06746	-0.0061275	0.04714	-0.0817817	0.005435	0.0699967	-0.0328488	-0.00939	0.01608	-0.0348783	-0.0110767	0.018895	-0.00204375	-0.0100437	-0.0103388	-0.00136667	-0.01143	-0.0106167	0	0	0	0	0	0
75	-0.0518937	-0.0113225	0.0276588	-0.068795	0.00128	0.0493683	-0.0278125	-0.0061975	0.0150713	-0.0309233	-0.008555	0.0157733	-0.00211375	-0.00833625	-0.0101337	-0.00144833	-0.0106133	-0.01024	0	0	0	0	0	0
76	-0.0334087	-0.0140575	0.0162538	-0.0512483	0.000876667	0.037155	-0.0230388	-0.003425	0.0135325	-0.0269583	-0.00588833	0.0125917	-0.00217875	-0.00695875	-0.0103387	-0.00142	-0.0094	-0.00982333	0	0	0	0	0	0
77	-0.0150225	-0.0138575	0.0102588	-0.03662	0.003235	0.03087	-0.018275	-0.00174875	0.00988875	-0.02407	-0.00375667	0.00747833	-0.00226	-0.00599875	-0.0108075	-0.0013	-0.00818333	-0.00957	0	0	0	0	0	0
78	0.00165	-0.0111113	0.00970625	-0.024605	0.00348833	0.0233917	-0.01309	-0.00117125	0.004155	-0.0211617	-0.002335	-0.000361667	-0.00238	-0.005315	-0.01137	-0.00127	-0.00698	-0.009745	0	0	0	0	0	0
79	0.0138588	-0.00845	0.0110712	-0.0115767	0.000601667	0.01208	-0.00799	-0.00113875	-0.0028175	-0.0173883	-0.001715	-0.0105233	-0.00255375	-0.0048225	-0.0119675	-0.001435	-0.00570667	-0.0103333	0	0	0	0	0	0
80	0.0211025	-0.0077675	0.010035	0.000583333	-0.00217	-0.00059	-0.003745	-0.001295	-0.00971375	-0.0133983	-0.00183	-0.0214167	-0.0027525	-0.0045875	-0.012685	-0.00174167	-0.004495	-0.0111867	0	0	0	0	0	0
81	0.0248187	-0.0058975	0.0057725	0.00799	-0.00251333	-0.01044	-0.000805	-0.00192625	-0.0168388	-0.010185	-0.00229333	-0.0308917	-0.00294	-0.00468625	-0.0135613	-0.001985	-0.00364667	-0.0121083	0	0	0	0	0	0
