Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
77	-0.05428	0.0131267	-0.03728	-0.038755	0.0128925	-0.018005	-0.01855	-0.00607667	-0.00480333	-0.0242325	-0.0045075	-0.0042575	-0.00224	-0.00687333	-0.0121633	-0.0014675	-0.006005	-0.01335	0	0	0	0	0	0
78	-0.04548	0.01291	-0.0501433	-0.0311925	0.01322	-0.028745	-0.01884	-0.00586333	-0.00983333	-0.024925	-0.00463	-0.0063275	-0.00221667	-0.00764667	-0.0133133	-0.001345	-0.00715	-0.0141225	0	0	0	0	0	0
79	-0.02974	0.0110767	-0.06445	-0.017005	0.012975	-0.039665	-0.0178167	-0.00501333	-0.01472	-0.0238325	-0.0044375	-0.00911	-0.00214	-0.00801333	-0.0145333	-0.0013525	-0.0079575	-0.0153975	0	0	0	0	0	0
80	-0.00586333	0.00626	-0.08332	0.0021275	0.0120275	-0.052615	-0.0151467	-0.00377333	-0.02022	-0.0213075	-0.004045	-0.0132925	-0.00212333	-0.00797333	-0.0158133	-0.001445	-0.0084575	-0.0171225	0	0	0	0	0	0
81	0.0210633	0.000423333	-0.105347	0.02486	0.009665	-0.070185	-0.01169	-0.00246	-0.0275767	-0.01712	-0.00349	-0.020635	-0.00223667	-0.00769	-0.0171333	-0.0015475	-0.0086175	-0.019015	0	0	0	0	0	0
82	0.0440633	-0.00275	-0.122893	0.0528525	0.0053825	-0.091365	-0.00869	-0.00119667	-0.03682	-0.009925	-0.00239	-0.031835	-0.00242	-0.00739333	-0.0184667	-0.0016375	-0.00819	-0.0208425	0	0	0	0	0	0
83	0.0567067	-0.00256333	-0.13302	0.0798775	0.001685	-0.10604	-0.00709333	-3.33333e-06	-0.04685	-0.0018525	-0.0006175	-0.0437475	-0.00258	-0.00734667	-0.0198633	-0.00172	-0.00738	-0.0225875	0	0	0	0	0	0
84	0.05467	-0.00085	-0.13823	0.097695	0.00076	-0.108303	-0.00621	0.00133333	-0.0579567	0.0049725	0.00159	-0.054525	-0.00263667	-0.0075	-0.02132	-0.0017925	-0.0066625	-0.0242825	0	0	0	0	0	0
85	0.0409933	0.00052	-0.13907	0.105668	0.002175	-0.0988825	-0.00501	0.00316	-0.07151	0.0105825	0.004045	-0.06576	-0.00261667	-0.0074	-0.02278	-0.001905	-0.00619	-0.02591	0	0	0	0	0	0
86	0.02192	0.00095	-0.138447	0.10215	0.0042575	-0.0857225	-0.0027	0.00563	-0.0903567	0.0144825	0.0064825	-0.0803325	-0.00271333	-0.00655	-0.0241533	-0.0020775	-0.0057925	-0.0271075	0	0	0	0	0	0
