Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
74	-0.0149675	0.005415	0.112988	-0.0573643	0.00997143	0.0452871	-0.01386	-0.00609	0.0272	-0.02705	-0.00605857	0.0349829	-0.0029325	-0.00984	-0.0127225	-0.000865714	-0.0115986	-0.0116414	0	0	0	0	0	0
75	-0.027935	0.0061975	0.097155	-0.0667814	0.01422	0.0532357	-0.016405	-0.007135	0.0181175	-0.02878	-0.00689571	0.0283614	-0.0029375	-0.0090025	-0.01213	-0.00105571	-0.0108714	-0.0112457	0	0	0	0	0	0
76	-0.035465	0.0050475	0.0820175	-0.0730171	0.0181314	0.0635157	-0.0167225	-0.007365	0.010855	-0.0300186	-0.00786429	0.0213557	-0.002975	-0.0077825	-0.011505	-0.00122	-0.01005	-0.0109257	0	0	0	0	0	0
77	-0.0341875	0.00435	0.07333	-0.0736057	0.0205714	0.0673186	-0.0144275	-0.006615	0.004295	-0.0300157	-0.00827714	0.0141457	-0.00306	-0.0063025	-0.0109475	-0.00132714	-0.00919714	-0.0107214	0	0	0	0	0	0
78	-0.026975	0.0047375	0.0660575	-0.0677486	0.0204629	0.06051	-0.01109	-0.0051825	-0.003225	-0.0281871	-0.00766	0.00661714	-0.00315	-0.00492	-0.0106375	-0.00140714	-0.00830857	-0.0106743	0	0	0	0	0	0
79	-0.01961	0.00503	0.0517575	-0.05538	0.0176557	0.0427257	-0.008695	-0.0035125	-0.01295	-0.02446	-0.00600429	-0.00151	-0.003195	-0.0039375	-0.0106025	-0.00149	-0.00737714	-0.0108414	0	0	0	0	0	0
80	-0.01378	0.0042325	0.0328025	-0.03897	0.0135243	0.0201714	-0.0071275	-0.0017775	-0.0240775	-0.0194857	-0.00357714	-0.00962857	-0.00324	-0.0033275	-0.0107975	-0.00159	-0.00645143	-0.01123	0	0	0	0	0	0
81	-0.0076925	0.002675	0.015695	-0.0221171	0.00992571	0.00109286	-0.00538	-8.5e-05	-0.0344675	-0.0142657	-0.00088	-0.0169914	-0.00331	-0.0029825	-0.0111725	-0.00171571	-0.00564286	-0.0118471	0	0	0	0	0	0
82	-0.000885	0.0018025	0.0029375	-0.00660714	0.00782286	-0.01141	-0.0037225	0.0011325	-0.0429575	-0.00940286	0.00138	-0.0237771	-0.003345	-0.00294	-0.0116275	-0.00185143	-0.00502286	-0.0126757	0	0	0	0	0	0
83	0.005245	0.0021175	-0.0056425	0.00594286	0.00672714	-0.0192671	-0.0028025	0.0015525	-0.0492125	-0.00541286	0.00257714	-0.0301714	-0.0033	-0.00328	-0.0121125	-0.00196857	-0.00465571	-0.0135814	0	0	0	0	0	0
84	0.0092725	0.002775	-0.011775	0.0140214	0.00569429	-0.02564	-0.002825	0.00132	-0.0529425	-0.00299	0.00249571	-0.0359271	-0.0032775	-0.0039975	-0.01277	-0.00202	-0.0046	-0.0144329	0	0	0	0	0	0
85	0.01099	0.003475	-0.01602	0.01754	0.00474143	-0.0332114	-0.0034225	0.0009025	-0.05452	-0.00246	0.00126571	-0.04148	-0.00338	-0.0048975	-0.01363	-0.00196429	-0.00497286	-0.01524	0	0	0	0	0	0
86	0.01035	0.0046	-0.0186475	0.0171043	0.00417143	-0.0434543	-0.0042275	0.000645	-0.0547325	-0.00396429	-0.000815714	-0.0468129	-0.0036	-0.005685	-0.0145375	-0.00178714	-0.00592714	-0.0160829	0	0	0	0	0	0
87	0.005945	0.006	-0.0205325	0.0113	0.00439714	-0.0509957	-0.0055375	0.000585	-0.054185	-0.00780286	-0.00318857	-0.0503414	-0.003855	-0.00629	-0.0154375	-0.00152286	-0.00746143	-0.0170643	0	0	0	0	0	0
88	-0.003885	0.00706	-0.021715	-0.00359571	0.00551571	-0.0489129	-0.007895	0.0005775	-0.053585	-0.0138514	-0.00502286	-0.05118	-0.00407	-0.0067825	-0.0163425	-0.00126286	-0.00928143	-0.0183	0	0	0	0	0	0
89	-0.0192325	0.0073875	-0.0236075	-0.0289471	0.00679143	-0.0339486	-0.011625	0.000555	-0.0544325	-0.0200743	-0.00535286	-0.0508829	-0.004225	-0.00724	-0.0172575	-0.00117	-0.0106943	-0.01988	0	0	0	0	0	0
90	-0.0383725	0.00743	-0.0278325	-0.0601143	0.00739286	-0.0119414	-0.0163525	0.0006875	-0.059415	-0.0230457	-0.00369286	-0.0544614	-0.0044075	-0.0076025	-0.01833	-0.00140286	-0.0108286	-0.0218143	0	0	0	0	0	0
91	-0.05579	0.007945	-0.03453	-0.0847743	0.00690286	0.000805714	-0.0204825	0.0013975	-0.071555	-0.0209886	-0.000828571	-0.0681871	-0.004865	-0.007555	-0.0197175	-0.00197714	-0.00920286	-0.0238057	0	0	0	0	0	0
92	-0.061905	0.0088075	-0.0434175	-0.08931	0.00531857	-0.0115014	-0.0218325	0.00298	-0.0922625	-0.0158771	0.00156571	-0.0942643	-0.0057175	-0.0065375	-0.02099	-0.00265714	-0.00612857	-0.0247957	0	0	0	0	0	0
93	-0.0501975	0.0091775	-0.0574275	-0.0693314	0.00304286	-0.0532529	-0.0195	0.00528	-0.12092	-0.01102	0.00288286	-0.128741	-0.006585	-0.00409	-0.02079	-0.00304	-0.00226571	-0.02297	0	0	0	0	0	0
94	-0.0271325	0.0085875	-0.08656	-0.0333729	0.00109429	-0.123844	-0.0155625	0.0076375	-0.156185	-0.00759714	0.00436714	-0.167193	-0.006525	-0.00035	-0.0173925	-0.00275	0.00205286	-0.0171071	0	0	0	0	0	0
95	-0.0105125	0.0068475	-0.142178	-3.42857e-05	0.000435714	-0.216839	-0.0135625	0.009365	-0.19564	-0.00530714	0.00733286	-0.206714	-0.0047525	0.0039375	-0.010185	-0.00171143	0.00660857	-0.00805857	0	0	0	0	0	0
96	-0.0164125	0.0033725	-0.221772	0.0156329	0.00111857	-0.314547	-0.0157575	0.009755	-0.234245	-0.00360286	0.0114014	-0.24448	-0.00142	0.0078275	-0.0006525	-0.000221429	0.0110471	0.00159143	0	0	0	0	0	0
97	-0.0487325	-0.0027325	-0.296265	0.0133386	0.00206429	-0.390089	-0.022765	0.0078275	-0.262845	-0.00145571	0.0146286	-0.274666	0.00226	0.01042	0.0080875	0.00110857	0.0146643	0.00895	0	0	0	0	0	0
